Author;Title;Year;Journal;H_index;RefPerDoc
"Cui, Xiaoyu; Cai, Ruifan; Tang, Xiangjun; Deng, Zhigang; Jin, Xiaogang";Sketch-based shape-constrained fireworks simulation in head-mounted virtual reality;2020;COMPUTER ANIMATION AND VIRTUAL WORLDS;50;31,56
"Kern, Angelika C.; Ellermeier, Wolfgang";Audio in VR: Effects of a Soundscape and Movement-Triggered Step Sounds on Presence;2020;FRONTIERS IN ROBOTICS AND AI;37;51,43
"Xu, Wenge; Liang, Hai-Ning; Zhang, Zeying; Baghaei, Nilufar";Studying the Effect of Display Type and Viewing Perspective on User Experience in Virtual Reality Exergames;2020;GAMES FOR HEALTH JOURNAL;35;43,12
"Argyriou, Lemonia; Economou, Daphne; Bouki, Vassiliki";Design methodology for 360 degrees immersive video applications: the case study of a cultural heritage virtual tour;2020;PERSONAL AND UBIQUITOUS COMPUTING;91;38,19
"Jeon, Jin Yong; Jo, Hyun In";Effects of audio-visual interactions on soundscape and landscape perception and their influence on satisfaction with the urban environment;2020;BUILDING AND ENVIRONMENT;172;60,37
"Juliano, Julia M.; Spicer, Ryan P.; Vourvopoulos, Athanasios; Lefebvre, Stephanie; Jann, Kay; Ard, Tyler; Santarnecchi, Emiliano; Krum, David M.; Liew, Sook-Lei";Embodiment Is Related to Better Performance on a Brain-Computer Interface in Immersive Virtual Reality: A Pilot Study;2020;SENSORS;196;48,16
"Malpica, S.; Serrano, A.; Allue, M.; Bedia, M. G.; Masia, B.";Crossmodal perception in virtual reality;2020;MULTIMEDIA TOOLS AND APPLICATIONS;80;45,20
"Swinkels, Lieke M. J.; van Schie, Hein T.; Veling, Harm; ter Horst, Arjan C.; Dijksterhuis, Ap";The self-generated full body illusion is accompanied by impaired detection of somatosensory stimuli;2020;ACTA PSYCHOLOGICA;103;59,89
"Sayed, Ahmed M.; Abdel-Mottaleb, Mostafa; Kashem, Rashed; Roongpoovapatr, Vatookarn; Elsawy, Amr; Abdel-Mottaleb, Mohamed; Parrish, Richard K., II; Abou Shousha, Mohamed";Expansion of Peripheral Visual Field with Novel Virtual Reality Digital Spectacles;2020;AMERICAN JOURNAL OF OPHTHALMOLOGY;194;30,70
"Stanney, Kay; Fidopiastis, Cali; Foster, Linda";Virtual Reality Is Sexist: But It Does Not Have to Be;2020;FRONTIERS IN ROBOTICS AND AI;37;51,43
"Reichenberger, Jonas; Pfaller, Michael; Muehlberger, Andreas";Gaze Behavior in Social Fear Conditioning: An Eye-Tracking Study in Virtual Reality;2020;FRONTIERS IN PSYCHOLOGY;133;64,70
"Kuang, Ying; Liu, Juan; Shi, Xueliang";Effect of surface roughness of optical waveguide on imaging quality and a formula of RSE tolerance and incident angle;2020;OPTICS EXPRESS;281;37,16
"Zhou, Chao; Li, Hong; Bian, Yulong";Identifying the Optimal 3D Display Technology for Hands-On Virtual Experiential Learning: A Comparison Study;2020;IEEE ACCESS;158;45,40
"Cha, Ho-Seung; Choi, Seong-Jun; Im, Chang-Hwan";Real-Time Recognition of Facial Expressions Using Facial Electromyograms Recorded Around the Eyes for Social Virtual Reality Applications;2020;IEEE ACCESS;158;45,40
"Wodarski, Piotr; Jurkojc, Jacek; Polechonski, Jacek; Bieniek, Andrzej; Chrzan, Milosz; Michnik, Robert; Gzik, Marek";Assessment of gait stability and preferred walking speed in virtual reality;2020;ACTA OF BIOENGINEERING AND BIOMECHANICS;28;21,25
"Vienne, Cyril; Masfrand, Stephane; Bourdin, Christophe; Vercher, Jean-Louis";Depth Perception in Virtual Reality Systems: Effect of Screen Distance, Environment Richness and Display Factors;2020;IEEE ACCESS;158;45,40
"Goncalves, Guilherme; Monteiro, Pedro; Melo, Miguel; Vasconcelos-Raposo, Jose; Bessa, Maximino";A Comparative Study Between Wired and Wireless Virtual Reality Setups;2020;IEEE ACCESS;158;45,40
"Kim, Seongki; Ryu, JinHo; Choi, Youngchyul; Kang, YooSeok; Li, Hongle; Kim, Kibum";Eye-Contact Game Using Mixed Reality for the Treatment of Children With Attention Deficit Hyperactivity Disorder;2020;IEEE ACCESS;158;45,40
"Amemiya, Tomohiro; Kitazaki, Michiteru; Ikei, Yasushi";Pseudo-Sensation of Walking Generated by Passive Whole-Body Motions in Heave and Yaw Directions;2020;IEEE TRANSACTIONS ON HAPTICS;54;31,67
"Frost, Megan; Goates, Michael; Cheng, Sarah; Johnston, Jed";Virtual Reality A Survey of Use at an Academic Library;2020;INFORMATION TECHNOLOGY AND LIBRARIES;37;27,74
"Ng, Adrian K. T.; Chan, Leith K. Y.; Lau, Henry Y. K.";A study of cybersickness and sensory conflict theory using a motion-coupled virtual reality system;2020;DISPLAYS;59;48,71
"Han, Ping-Hsuan; Chen, Yang-Sheng; Liu, Iou-Shiuan; Jang, Yu-Ping; Tsai, Ling; Chang, Alvin; Hung, Yi-Ping";A Compelling Virtual Tour of the Dunhuang Cave With an Immersive Head-Mounted Display;2020;IEEE COMPUTER GRAPHICS AND APPLICATIONS;95;12,48
"Kraus, M.; Weiler, N.; Oelke, D.; Kehrer, J.; Keim, D. A.; Fuchs, J.";The Impact of Immersion on Cluster Identification Tasks;2020;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Hong, Joo Young; Lam, Bhan; Ong, Zhen-Ting; Ooi, Kenneth; Gan, Woon-Seng; Kang, Jian; Yeong, Samuel; Lee, Irene; Tan, Sze-Tiong";The effects of spatial separations between water sound and traffic noise sources on soundscape assessment;2020;BUILDING AND ENVIRONMENT;172;60,37
"Gerber, Stephan M.; Jeitziner, Marie-Madlen; Knobel, Samuel E. J.; Mosimann, Urs P.; Mueri, Rene M.; Jakob, Stephan M.; Nef, Tobias";Perception and Performance on a Virtual Reality Cognitive Stimulation for Use in the Intensive Care Unit: A Non-randomized Trial in Critically Ill Patients;2019;FRONTIERS IN MEDICINE;54;49,59
"Kim, Hyun-Wook; Yang, Sung-Hyun";Region of interest-based segmented tiled adaptive streaming using head-mounted display tracking sensing data;2019;INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS;58;34,10
"Maples-Keller, Jessica L.; Rauch, Sheila A. M.; Jovanovic, Tanja; Yasinski, Carly W.; Goodnight, Jessica Morgan; Sherrill, Andrew; Black, Kathryn; Michopoulos, Vasiliki; Dunlop, Boadie W.; Rothbaum, Barbara Olasov; Norrholm, Seth Davin";Changes in trauma-potentiated startle, skin conductance, and heart rate within prolonged exposure therapy for PTSD in high and low treatment responders;2019;JOURNAL OF ANXIETY DISORDERS;126;60,79
"de Clercq, Koen; Dietrich, Andre; Velasco, Juan Pablo Nunez; de Winter, Joost; Happee, Riender";External Human-Machine Interfaces on Automated Vehicles: Effects on Pedestrian Crossing Decisions;2019;HUMAN FACTORS;124;53,08
"Edwards, Bosede Iyiade; Bielawski, Kevin S.; Prada, Rui; Cheok, Adrian David";Haptic virtual reality and immersive learning for enhanced organic chemistry instruction;2019;VIRTUAL REALITY;51;59,84
"Cakiroglu, Unal; Gokoglu, Seyfullah";A Design Model for Using Virtual Reality in Behavioral Skills Training;2019;JOURNAL OF EDUCATIONAL COMPUTING RESEARCH;64;62,00
"Yu, Xinge; Xie, Zhaoqian; Yu, Yang; Lee, Jungyup; Vazquez-Guardado, Abraham; Luan, Haiwen; Ruben, Jasper; Ning, Xin; Akhtar, Aadeel; Li, Dengfeng; Ji, Bowen; Liu, Yiming; Sun, Rujie; Cao, Jingyue; Huo, Qingze; Zhong, Yishan; Lee, ChanMi; Kim, SeungYeop; Gutruf, Philipp; Zhang, Changxing; Xue, Yeguang; Guo, Qinglei; Chempakasseril, Aditya; Tian, Peilin; Lu, Wei; Jeong, JiYoon; Yu, YongJoon; Cornman, Jesse; Tan, CheeSim; Kirn, BongHoon; Lee, KunHyuk; Feng, Xue; Huang, Yonggang; Rogers, John A.";Skin-integrated wireless haptic interfaces for virtual and augmented reality;2019;NATURE;1276;21,70
"Wang, Yan; Zhai, Guangtao; Chen, Sichao; Min, Xiongkuo; Gao, Zhongpai; Song, Xuefei";Assessment of eye fatigue caused by head-mounted displays using eye-tracking;2019;BIOMEDICAL ENGINEERING ONLINE;81;45,14
"Huffman, Derek J.; Ekstrom, Arne D.";A Modality-Independent Network Underlies the Retrieval of Large-Scale Spatial Environments in the Human Brain;2019;NEURON;493;60,09
"Tong, Jonathan; Allison, Robert S.; Wilcox, Laurie M.";The Impact of Radial Distortions in VR Headsets on Perceived Surface Slant;2019;JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY;42;30,37
"Hladky, Jozef; Seidel, Hans-Peter; Steinberger, Markus";The Camera Offset Space: Real-time Potentially Visible Set Computations for Streaming Rendering;2019;ACM TRANSACTIONS ON GRAPHICS;221;59,22
"Hu, Ping; Sun, Qi; Didyk, Piotr; Wei, Li-Yi; Kaufman, Arie E.";Reducing Simulator Sickness with Perceptual Camera Control;2019;ACM TRANSACTIONS ON GRAPHICS;221;59,22
"Kaplanyan, Anton S.; Sochenov, Anton; Leimkuhler, Thomas; Okunev, Mikhail; Goodall, Todd; Rufo, Gizem";DeepFovea: Neural Reconstruction for Foveated Rendering and Video Compression using Learned Statistics of Natural Videos;2019;ACM TRANSACTIONS ON GRAPHICS;221;59,22
"Padmanaban, Nitish; Peng, Yifan; Wetzstein, Gordon";Holographic Near-Eye Displays Based on Overlap-Add Stereograms;2019;ACM TRANSACTIONS ON GRAPHICS;221;59,22
"Zhong, Fangcheng; Koulieris, George Alex; Drettakis, George; Banks, Martin S.; Chambe, Mathieu; Durand, Fredo; Mantiuk, Rafal K.";DiCE: Dichoptic Contrast Enhancement for VR and Stereo Displays;2019;ACM TRANSACTIONS ON GRAPHICS;221;59,22
"Park, Jin-Woo; Nahm, Francis Sahngun; Kim, Jin-Hee; Jeon, Young-Tae; Ryu, Jung-Hee; Han, Sung-Hee";The Effect of Mirroring Display of Virtual Reality Tour of the Operating Theatre on Preoperative Anxiety: A Randomized Controlled Trial;2019;IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS;137;36,29
"Schneider, Daniel; Otte, Alexander; Gesslein, Travis; Gagel, Philipp; Kuth, Bastian; Damlakhi, Mohamad Shahm; Dietz, Oliver; Ofek, Eyal; Pahud, Michel; Kristensson, Per Ola; Mueller, Joerg; Grubert, Jens";ReconViguRation: Reconfiguring Physical Keyboards in Virtual Reality;2019;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Wolf, Dennis; Rietzler, Michael; Hnatek, Leo; Rukzio, Enrico";Face/On: Multi-Modal Haptic Feedback for Head-Mounted Displays in Virtual Reality;2019;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Irlitti, Andrew; Piumsomboon, Thammathip; Jackson, Daniel; Thomas, Bruce H.";Conveying spatial awareness cues in xR collaborations;2019;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Pan, Ye; Steed, Anthony";How Foot Tracking Matters: The Impact of an Animated Self-Avatar on Interaction, Embodiment and Presence in Shared Virtual Environments;2019;FRONTIERS IN ROBOTICS AND AI;37;51,43
"Zhan, Tao; Zou, Junyu; Xiong, Jianghao; Liu, Xiaomin; Chen, Hao; Yang, Jilin; Liu, Sheng; Dong, Yajie; Wu, Shin-Tson";Practical Chromatic Aberration Correction in Virtual Reality Displays Enabled by Cost-Effective Ultra-Broadband Liquid Crystal Polymer Lenses;2020;ADVANCED OPTICAL MATERIALS;104;67,51
"Commins, Sean; Duffin, Joseph; Chaves, Keylor; Leahy, Diarmuid; Corcoran, Kevin; Caffrey, Michelle; Keenan, Lisa; Finan, Deirdre; Thornberry, Conor";NavWell: A simplified virtual-reality platform for spatial navigation and memory experiments;2020;BEHAVIOR RESEARCH METHODS;148;57,74
"Walcutt, Noah L.; Knorlein, Benjamin; Sgouros, Tom; Cetinic, Ivona; Omand, Melissa M.";Virtual Reality and Oceanography: Overview, Applications, and Perspective;2019;FRONTIERS IN MARINE SCIENCE;68;76,88
"Borrego, Adrian; Latorre, Jorge; Alcaniz, Mariano; Llorens, Roberto";Embodiment and Presence in Virtual Reality After Stroke. A Comparative Study With Healthy Subjects;2019;FRONTIERS IN NEUROLOGY;80;49,16
"Chittaro, Luca; Sioni, Riccardo";Selecting Menu Items in Mobile Head-Mounted Displays: Effects of Selection Technique and Active Area;2019;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;76;70,94
"Bell, Joshua D.; Macuga, Kristen L.";Goal-directed aiming under restricted viewing conditions with confirmatory sensory feedback;2019;HUMAN MOVEMENT SCIENCE;94;51,10
"Wender, Carly L. A.; Ahn, Sun Joo; O'Connor, Patrick J.";Interactive Virtual Reality Reduces Quadriceps Pain during High-Intensity Cycling;2019;MEDICINE AND SCIENCE IN SPORTS AND EXERCISE;238;22,42
"Shimokawa, Kazuma; Sugimori, Eriko";Using Virtual Reality to Study Subjective Time in Crowded Versus Uncrowded Environments;2019;PERCEPTUAL AND MOTOR SKILLS;73;45,35
"Roberts, Gillian; Holmes, Niall; Alexander, Nicholas; Boto, Elena; Leggett, James; Hill, Ryan M.; Shah, Vishal; Read, Molly; Vaughan, Richard; Maguire, Eleanor A.; Kessler, Klaus; Beebe, Shaun; Fromhold, Mark; Barnes, Gareth R.; Bowtell, Richard; Brookes, Matthew J.";Towards OPM-MEG in a virtual reality environment;2019;NEUROIMAGE;381;78,40
"Fan, Ching-Ling; Lo, Wen-Chih; Pai, Yu-Tung; Hsu, Cheng-Hsin";A Survey on 360 degrees Video Streaming: Acquisition, Transmission, and Display;2019;ACM COMPUTING SURVEYS;172;148,46
"Jeppsson, Mattis; Espeland, Havard N.; Kupka, Tomas; Langseth, Ragnar; Petlund, Andreas; Peng, Qiaoqiao; Xue, Chuansong; Johansen, Dag; Pogorelov, Konstantin; Stensland, IIakon; Griwodz, Carsten; Riegler, Michael; Halvorsen, Pal";Efficient Live and On-Demand Tiled HEVC 360 VR Video Streaming;2019;INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING;18;33,00
"Abd-Alhamid, Fedaa; Kent, Michael; Bennett, Christopher; Calautit, John; Wu, Yupeng";Developing an Innovative Method for Visual Perception Evaluation in a Physical-Based Virtual Environment;2019;BUILDING AND ENVIRONMENT;172;60,37
"Ito, Kenichiro; Nishimura, Hidekazu; Ogi, Tetsuro";Motorcycle Head-Up Display: Design of Presenting Navigation Information;2019;IEEE CONSUMER ELECTRONICS MAGAZINE;36;8,65
"Wuehr, Max; Breitkopf, Katharina; Decker, Julian; Ibarra, Gerardo; Huppert, Doreen; Brandt, Thomas";Fear of heights in virtual reality saturates 20 to 40 m above ground;2019;JOURNAL OF NEUROLOGY;144;36,31
"Bruns, Conner R.; Chamberlain, Brent C.";The influence of landmarks and urban form on cognitive maps using virtual reality;2019;LANDSCAPE AND URBAN PLANNING;178;74,50
"Gallagher, Maria; Dowsett, Ross; Ferre, Elisa Raffaella";Vection in virtual reality modulates vestibular-evoked myogenic potentials;2019;EUROPEAN JOURNAL OF NEUROSCIENCE;213;81,74
"Jiang, Haiyan; Weng, Dongdong; Zhang, Zhenliang; Chen, Feng";HiFinger: One-Handed Text Entry Technique for Virtual Environments Based on Touches between Fingers;2019;SENSORS;196;48,16
"Monna, Fabrice; Navarro, Nicolas; Magail, Jerome; Guillon, Rodrigue; Rolland, Tanguy; Wilczek, Josef; Esin, Yury; Chateau, Carmela";Contextualization of Archaeological Information Using Augmented Photospheres, Viewed with Head-Mounted Displays;2019;SUSTAINABILITY;109;64,87
"Bibic, Lucka; Druskis, Justinas; Walpole, Samuel; Angulo, Jesus; Stokes, Leanne";Bug Off Pain: An Educational Virtual Reality Game on Spider Venoms and Chronic Pain for Public Engagement;2019;JOURNAL OF CHEMICAL EDUCATION;90;36,87
"Bailey, Jakki O.; Bailenson, Jeremy N.; Obradovic, Jelena; Aguiar, Naomi R.";Virtual reality's effect on children's inhibitory control, social compliance, and sharing;2019;JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY;92;77,40
"Hladky, J.; Seidel, H. P.; Steinberger, M.";Tessellated Shading Streaming;2019;COMPUTER GRAPHICS FORUM;121;56,16
"Martinez-Navarro, Jesus; Bigne, Enrique; Guixeres, Jaime; Alcaniz, Mariano; Torrecilla, Carmen";The influence of virtual reality in e-commerce;2019;JOURNAL OF BUSINESS RESEARCH;217;85,95
"Jin, Haiyan; Xie, Le; Xiao, Zhaolin; Zhou, Ting";Classification for Human Balance Capacity Based on Visual Stimulation under a Virtual Reality Environment;2019;SENSORS;196;48,16
"Ding, Ding; Brinkman, Willem-Paul; Neerincx, Mark A.";Virtual reality exposure with eye-gaze adaptive virtual cognitions;2019;ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE;18;0,00
"Mosso Vazquez, Jose Luis; Canseco Aguilar, Patricia; Mosso Lara, Dejanira; Miller, Ian; Wiederhold, Brenda K.; Wiederhold, Mark D.";Virtual Reality and Minimal Analgesia Attenuate Pain During Spine Surgery;2019;ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE;18;0,00
"Ellman, Asko; Tiainen, Tarja";Diffusion of Innovation: Case of Co-Design of Cabins in Mobile Work Machine Industry;2019;COMPUTERS;24;45,99
Ho, Derek Kwun-hong;Using smartphone-delivered stereoscopic vision in microsurgery: a feasibility study;2019;EYE;106;26,45
"Wang, Peng; Zhang, Shusheng; Bai, Xiaoliang; Billinghurst, Mark; He, Weiping; Sun, Mengmeng; Chen, Yongxing; Lv, Hao; Ji, Hongyu";2.5DHANDS: a gesture-based MR remote collaborative platform;2019;INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY;134;37,54
"Mittelstaedt, Justin Maximilian; Wacker, Jan; Stelling, Dirk";VR aftereffect and the relation of cybersickness and cognitive performance;2019;VIRTUAL REALITY;51;59,84
"Suzuki, Keisuke; Schwartzman, David J.; Augusto, Rafael; Seth, Anil K.";Sensorimotor contingency modulates breakthrough of virtual 3D objects during a breaking continuous flash suppression paradigm;2019;COGNITION;200;67,75
Gavarkovs, Adam G.;Behavioral Counseling Training for Primary Care Providers: Immersive Virtual Simulation as a Training Tool;2019;FRONTIERS IN PUBLIC HEALTH;64;45,33
"Osumi, Michihiro; Inomata, Kazunori; Inoue, Yuji; Otake, Yuko; Morioka, Shu; Sumitani, Masahiko";Characteristics of Phantom Limb Pain Alleviated with Virtual Reality Rehabilitation;2019;PAIN MEDICINE;103;3,25
"Wu, Bo-Jyun; Wong, Sai-Keung; Li, Ta-Wei";Virtual titration laboratory experiment with differentiated instruction;2019;COMPUTER ANIMATION AND VIRTUAL WORLDS;50;31,56
"Koulieris, G. A.; Aksit, K.; Stengel, M.; Mantiuk, R. K.; Mania, K.; Richardt, C.";Near-Eye Display and Tracking Technologies for Virtual and Augmented Reality;2019;COMPUTER GRAPHICS FORUM;121;56,16
"Li, Jing; Xie, Ning; Zhao, Weixun";The choice of intrinsic axis under multi-cue conditions;2019;COGNITIVE PROCESSING;46;55,03
"Shen, Yiran; Wen, Hongkai; Luo, Chengwen; Xu, Weitao; Zhang, Tao; Hu, Wen; Rus, Daniela";GaitLock: Protect Virtual and Augmented Reality Headsets Using Gait;2019;IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING;84;24,04
"Xu, Wenge; Liang, Hai-Ning; Zhao, Yuxuan; Zhang, Tianyu; Yu, Difeng; Monteiro, Diego";RingText: Dwell-free and hands-free Text Entry for Mobile Head-Mounted Displays using Head Motions;2019;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Mirhosseini, Seyedkoosha; Gutenko, Ievgeniia; Ojal, Sushant; Marino, Joseph; Kaufman, Arie";Immersive Virtual Colonoscopy;2019;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Farah, Maya F.; Ramadan, Zahy B.; Harb, Dana H.";The examination of virtual reality at the intersection of consumer experience, shopping journey and physical retailing;2019;JOURNAL OF RETAILING AND CONSUMER SERVICES;104;79,95
"Choe, Mungyeong; Choi, Yeongcheol; Park, Jaehyun; Kim, Hyun K.";Comparison of Gaze Cursor Input Methods for Virtual Reality Devices;2019;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;76;70,94
"Ito, Masaru; Funahara, Yusuke; Saiki, Seiji; Yamazaki, Yoichiro; Kurita, Yuichi";Development of a Cross-Platform Cockpit for Simulated and Tele-Operated Excavators;2019;JOURNAL OF ROBOTICS AND MECHATRONICS;21;25,84
"Seo, Seung-hun; Kim, Eunjoo; Mundy, Peter; Heo, Jiwoong; Kim, Kwanguk (Kenny)";Joint Attention Virtual Classroom: A Preliminary Study;2019;PSYCHIATRY INVESTIGATION;42;44,21
"Zink, Michael; Sitaraman, Ramesh; Nahrstedt, Klara";Scalable 360 degrees Video Stream Delivery: Challenges, Solutions, and Opportunities;2019;PROCEEDINGS OF THE IEEE;296;137,72
"Makransky, Guido; Terkildsen, Thomas S.; Mayer, Richard E.";Adding immersive virtual reality to a science lab simulation causes more presence but less learning;2019;LEARNING AND INSTRUCTION;125;68,56
Mol, Jantsje M.;Goggles in the lab: Economic experiments in immersive virtual environments;2019;JOURNAL OF BEHAVIORAL AND EXPERIMENTAL ECONOMICS;67;53,37
"Jang, Ju Yeun; Hur, Hee Jin; Choo, Ho Jung";How to evoke consumer approach intention toward VR stores? Sequential mediation through telepresence and experiential value;2019;FASHION AND TEXTILES;18;50,02
"Marin-Morales, Javier; Luis Higuera-Trujillo, Juan; De-Juan-Ripoll, Carla; Llinares, Carmen; Guixeres, Jaime; Inarra, Susana; Alcaniz, Andmariano";Navigation Comparison between a Real and a Virtual Museum: Time-dependent Differences using a Head Mounted Display;2019;INTERACTING WITH COMPUTERS;86;61,30
"Schnack, Alexander; Wright, Malcolm J.; Holdershaw, Judith L.";Immersive virtual reality technology in a three-dimensional virtual simulated store: Investigating telepresence and usability;2019;FOOD RESEARCH INTERNATIONAL;177;64,37
"Zhao, Jing; Xiong, Ruiqin; Xu, Jizheng";OmniCast :Wireless Pseudo-Analog Transmission for Omnidirectional Video;2019;IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS;54;39,45
"Otkhmezuri, Boris; Boffo, Marilisa; Siriaraya, Panote; Matsangidou, Maria; Wiers, Reinout W.; Mackintosh, Bundy; Ang, Chee Siang; Salemink, Elske";Believing Is Seeing: A Proof-of-Concept Semiexperimental Study on Using Mobile Virtual Reality to Boost the Effects of Interpretation Bias Modification for Anxiety;2019;JMIR MENTAL HEALTH;38;55,44
"He, Zehao; Sui, Xiaomeng; Jin, Guofan; Cao, Liangcai";Progress in virtual reality and augmented reality based on holographic display;2019;APPLIED OPTICS;203;31,13
"Nguyen, D. V.; Tran, Huyen T. T.; Truong Cong Thang";A client-based adaptation framework for 360-degree video streaming;2019;JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION;84;50,06
"Bai, Jianying; Bao, Min; Zhang, Tao; Jiang, Yi";A virtual reality approach identifies flexible inhibition of motion aftereffects induced by head rotation;2019;BEHAVIOR RESEARCH METHODS;148;57,74
"Guo, Jichengsi; Huang, Jianping; Wan, Xiaoang";Influence of route decision-making and experience on human path integration;2019;ACTA PSYCHOLOGICA;103;59,89
"Spanlang, Bernhard; Nierula, Birgit; Haffar, Maud; Debruille, J. Bruno";Mimicking Schizophrenia: Reducing P300b by Minimally Fragmenting Healthy Participants' Selves Using Immersive Virtual Reality Embodiment;2019;FRONTIERS IN HUMAN NEUROSCIENCE;128;68,73
"Jung-Ho, Kim; Ho-Jun, Son; Seung-Hyun, Lee; Soon-Chul, Kwon";VR/AR Head-mounted Display System-based Measurement and Evaluation of Dynamic Visual Acuity;2019;JOURNAL OF EYE MOVEMENT RESEARCH;24;48,12
"Szpak, Ancret; Michalski, Stefan Carlo; Saredakis, Dimitrios; Chen, Celia S.; Loetscher, Tobias";Beyond Feeling Sick: The Visual and Cognitive Aftereffects of Virtual Reality;2019;IEEE ACCESS;158;45,40
"Choi, Kang-min; Park, Seonghun; Im, Chang-Hwan";Comparison of Visual Stimuli for Steady-State Visual Evoked Potential-Based Brain-Computer Interfaces in Virtual Reality Environment in terms of Classification Accuracy and Visual Comfort;2019;COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE;61;38,85
"Huo, Yongkai; Wang, Xu; Zhang, Peichang; Jiang, Jianmin; Hanzo, Lajos";Unequal Error Protection Aided Region of Interest Aware Wireless Panoramic Video;2019;IEEE ACCESS;158;45,40
"Kazempourradi, Seyedmandi; Ulusoy, Erdem; Urey, Hakan";Full-color computational holographic near-eye display;2019;JOURNAL OF INFORMATION DISPLAY;24;42,45
"Asakura, Takumi; Ishikawa, Atsuya";Effect of auditory and visual stimuli on distance perception presented by head-mounted display and headphone;2019;ACOUSTICAL SCIENCE AND TECHNOLOGY;40;18,19
"Jang, Ho Jin; Lee, Jun Yeob; Kwak, Jeonghun; Lee, Dukho; Park, Jae-Hyeung; Lee, Byoungho; Noh, Yong Young";Progress of display performances: AR, VR, QLED, OLED, and TFT;2019;JOURNAL OF INFORMATION DISPLAY;24;42,45
"Kramberger, Iztok; Kacic, Zdravko; Donaj, Gregor";Binocular Phase-Coded Visual Stimuli for SSVEP-Based BCI;2019;IEEE ACCESS;158;45,40
"Jallouli, Anas; Kammoun, Fahmi; Masmoudi, Nouri";Equatorial part segmentation model for 360-deg video projection;2019;JOURNAL OF ELECTRONIC IMAGING;68;41,51
"Sasinka, Cenek; Stachon, Zdenek; Sedlak, Michal; Chmelik, Jiri; Herman, Lukas; Kubicek, Petr; Sasinkova, Alzbeta; Dolezal, Milan; Tejkl, Hynek; Urbanek, Tomas; Svatonova, Hana; Ugwitz, Pavel; Jurik, Vojtech";Collaborative Immersive Virtual Environments for Education in Geography;2019;ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION;52;57,06
"Viziano, Andrea; Micarelli, Alessandro; Augimeri, Ivan; Micarelli, Domenico; Alessandrini, Marco";Long-term effects of vestibular rehabilitation and head-mounted gaming task procedure in unilateral vestibular hypofunction: a 12-month follow-up of a randomized controlled trial;2019;CLINICAL REHABILITATION;114;31,80
"Yoon, Jeong Hwan; Lee, Seung Jae; Lim, Young Jin; Seo, Eo Jin; Shin, Hoon Sub; Myoung, Jae-Min; Lee, Seung Hee";Fast switching, high contrast and high resolution liquid crystal device for virtual reality display;2018;OPTICS EXPRESS;281;37,16
"Wu, Meng-Lin; Popescu, Voicu";Efficient VR and AR Navigation Through Multiperspective Occlusion Management;2018;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Cometti, Carole; Paizis, Christos; Casteleira, Audrey; Pons, Guillaume; Babault, Nicolas";Effects of mixed reality head-mounted glasses during 90 minutes of mental and manual tasks on cognitive and physiological functions;2018;PEERJ;83;61,25
"Grubert, Jens; Ofek, Eyal; Pahud, Michel; Kristensson, Per Ola";The Office of the Future: Virtual, Portable, and Global;2018;IEEE COMPUTER GRAPHICS AND APPLICATIONS;95;12,48
"Valzolgher, Chiara; Mazzurega, Mara; Zampini, Massimiliano; Pavani, Francesco";Incongruent multisensory stimuli alter bodily self-consciousness: Evidence from a first-person perspective experience;2018;ACTA PSYCHOLOGICA;103;59,89
"Sasaki, Takashi; Hotta, Aira; Murata, Takahiro; Ueda, Yu; Okumura, Haruhiko";Novel MRI hyper-realistic head-up display system for patient comfort;2018;JOURNAL OF THE SOCIETY FOR INFORMATION DISPLAY;54;24,72
"Kroupa, Jiri; Tuma, Zdenek; Kovar, Jiri; Singule, Vladislav";VIRTUAL LABORATORY FOR STUDY OF CONSTRUCTION OF MACHINE TOOLS;2018;MM SCIENCE JOURNAL;12;19,99
